dataset,article,strategy,classification,char_len
allsides,allsides_abortion_l_2,simple,ok,1077
allsides,allsides_abortion_l_2,vanilla,ok,865
allsides,allsides_abortion_l_3,cot_fewshot_mft,ok,1237
allsides,allsides_abortion_l_3,cot_fewshot,ok,1121
allsides,allsides_abortion_l_3,cot,ok,1089
allsides,allsides_abortion_l_3,oracle,ok,1323
allsides,allsides_abortion_l_3,simple_fewshot_mft,ok,1410
allsides,allsides_abortion_l_3,simple_fewshot,ok,1054
allsides,allsides_abortion_l_3,simple,ok,1203
allsides,allsides_abortion_l_3,vanilla,ok,1024
allsides,allsides_abortion_l_4,cot_fewshot_mft,ok,1168
allsides,allsides_abortion_l_4,cot_fewshot,ok,1428
allsides,allsides_abortion_l_4,cot,ok,1246
allsides,allsides_abortion_l_4,oracle,ok,1161
allsides,allsides_abortion_l_4,simple_fewshot_mft,ok,1021
allsides,allsides_abortion_l_4,simple_fewshot,ok,978
allsides,allsides_abortion_l_4,simple,ok,1099
allsides,allsides_abortion_l_4,vanilla,ok,1031
allsides,allsides_abortion_l_5,cot_fewshot_mft,format_miss,1187
allsides,allsides_abortion_l_5,cot_fewshot,ok,1127
allsides,allsides_abortion_l_5,cot,refusal,156
allsides,allsides_abortion_l_5,oracle,refusal,205
allsides,allsides_abortion_l_5,simple_fewshot_mft,ok,1045
allsides,allsides_abortion_l_5,simple_fewshot,ok,904
allsides,allsides_abortion_l_5,simple,ok,1079
allsides,allsides_abortion_l_5,vanilla,ok,1106
allsides,allsides_abortion_r_1,cot_fewshot_mft,ok,1234
allsides,allsides_abortion_r_1,cot_fewshot,ok,1226
allsides,allsides_abortion_r_1,cot,refusal,134
allsides,allsides_abortion_r_1,oracle,refusal,164
allsides,allsides_abortion_r_1,simple_fewshot_mft,ok,951
allsides,allsides_abortion_r_1,simple_fewshot,ok,952
allsides,allsides_abortion_r_1,simple,refusal,103
allsides,allsides_abortion_r_1,vanilla,ok,973
allsides,allsides_abortion_r_2,cot_fewshot_mft,ok,1218
allsides,allsides_abortion_r_2,cot_fewshot,ok,1146
allsides,allsides_abortion_r_2,cot,ok,1198
allsides,allsides_abortion_r_2,oracle,ok,1026
allsides,allsides_abortion_r_2,simple_fewshot_mft,ok,1009
allsides,allsides_abortion_r_2,simple_fewshot,ok,976
allsides,allsides_abortion_r_2,simple,ok,1060
allsides,allsides_abortion_r_2,vanilla,ok,1028
allsides,allsides_abortion_r_3,cot_fewshot_mft,format_miss,1021
allsides,allsides_abortion_r_3,cot_fewshot,ok,1331
allsides,allsides_abortion_r_3,cot,refusal,99
allsides,allsides_abortion_r_3,oracle,refusal,156
allsides,allsides_abortion_r_3,simple_fewshot_mft,ok,1396
allsides,allsides_abortion_r_3,simple_fewshot,ok,1036
allsides,allsides_abortion_r_3,simple,refusal,148
allsides,allsides_abortion_r_3,vanilla,ok,1205
allsides,allsides_abortion_r_4,cot_fewshot_mft,ok,1210
allsides,allsides_abortion_r_4,cot_fewshot,ok,1244
allsides,allsides_abortion_r_4,cot,refusal,111
allsides,allsides_abortion_r_4,oracle,refusal,227
allsides,allsides_abortion_r_4,simple_fewshot_mft,format_miss,1823
allsides,allsides_abortion_r_4,simple_fewshot,ok,913
allsides,allsides_abortion_r_4,simple,ok,980
allsides,allsides_abortion_r_4,vanilla,ok,938
allsides,allsides_abortion_r_5,cot_fewshot_mft,format_miss,1274
allsides,allsides_abortion_r_5,cot_fewshot,format_miss,1149
allsides,allsides_abortion_r_5,cot,refusal,108
allsides,allsides_abortion_r_5,oracle,refusal,188
allsides,allsides_abortion_r_5,simple_fewshot_mft,ok,1025
allsides,allsides_abortion_r_5,simple_fewshot,ok,1054
allsides,allsides_abortion_r_5,simple,refusal,127
allsides,allsides_abortion_r_5,vanilla,ok,1027
allsides,allsides_coronavirus_c_1,cot_fewshot_mft,ok,1198
allsides,allsides_coronavirus_c_1,cot_fewshot,format_miss,2526
allsides,allsides_coronavirus_c_1,cot,ok,990
allsides,allsides_coronavirus_c_1,oracle,ok,1347
allsides,allsides_coronavirus_c_1,simple_fewshot_mft,ok,1187
allsides,allsides_coronavirus_c_1,simple_fewshot,ok,1028
allsides,allsides_coronavirus_c_1,simple,ok,1077
allsides,allsides_coronavirus_c_1,vanilla,ok,1053
allsides,allsides_coronavirus_c_2,cot_fewshot_mft,ok,1059
allsides,allsides_coronavirus_c_2,cot_fewshot,ok,1187
allsides,allsides_coronavirus_c_2,cot,refusal,147
allsides,allsides_coronavirus_c_2,oracle,refusal,263
allsides,allsides_coronavirus_c_2,simple_fewshot_mft,ok,1192
allsides,allsides_coronavirus_c_2,simple_fewshot,ok,1021
allsides,allsides_coronavirus_c_2,simple,ok,1052
allsides,allsides_coronavirus_c_2,vanilla,ok,1115
allsides,allsides_coronavirus_c_3,cot_fewshot_mft,ok,1144
allsides,allsides_coronavirus_c_3,cot_fewshot,ok,1235
allsides,allsides_coronavirus_c_3,cot,ok,1024
allsides,allsides_coronavirus_c_3,oracle,ok,949
allsides,allsides_coronavirus_c_3,simple_fewshot_mft,ok,1387
allsides,allsides_coronavirus_c_3,simple_fewshot,ok,1039
allsides,allsides_coronavirus_c_3,simple,ok,1170
allsides,allsides_coronavirus_c_3,vanilla,ok,1050
allsides,allsides_coronavirus_c_4,cot_fewshot_mft,ok,1426
allsides,allsides_coronavirus_c_4,cot_fewshot,ok,1357
allsides,allsides_coronavirus_c_4,cot,refusal,159
allsides,allsides_coronavirus_c_4,oracle,ok,1251
allsides,allsides_coronavirus_c_4,simple_fewshot_mft,ok,1169
allsides,allsides_coronavirus_c_4,simple_fewshot,ok,1020
allsides,allsides_coronavirus_c_4,simple,ok,980
allsides,allsides_coronavirus_c_4,vanilla,ok,1087
allsides,allsides_coronavirus_c_5,cot_fewshot_mft,ok,1353
allsides,allsides_coronavirus_c_5,cot_fewshot,format_miss,1029
allsides,allsides_coronavirus_c_5,cot,ok,1105
allsides,allsides_coronavirus_c_5,oracle,ok,1200
allsides,allsides_coronavirus_c_5,simple_fewshot_mft,ok,1056
allsides,allsides_coronavirus_c_5,simple_fewshot,ok,983
allsides,allsides_coronavirus_c_5,simple,ok,1148
allsides,allsides_coronavirus_c_5,vanilla,ok,1042
allsides,allsides_coronavirus_l_1,cot_fewshot_mft,ok,1167
allsides,allsides_coronavirus_l_1,cot_fewshot,format_miss,987
allsides,allsides_coronavirus_l_1,cot,ok,1297
allsides,allsides_coronavirus_l_1,oracle,ok,1114
allsides,allsides_coronavirus_l_1,simple_fewshot_mft,ok,1010
allsides,allsides_coronavirus_l_1,simple_fewshot,ok,989
allsides,allsides_coronavirus_l_1,simple,ok,1032
allsides,allsides_coronavirus_l_1,vanilla,ok,1076
allsides,allsides_coronavirus_l_2,cot_fewshot_mft,ok,1193
allsides,allsides_coronavirus_l_2,cot_fewshot,format_miss,1131
allsides,allsides_coronavirus_l_2,cot,ok,1018
allsides,allsides_coronavirus_l_2,oracle,ok,1170
allsides,allsides_coronavirus_l_2,simple_fewshot_mft,ok,1150
allsides,allsides_coronavirus_l_2,simple_fewshot,ok,872
allsides,allsides_coronavirus_l_2,simple,ok,1163
allsides,allsides_coronavirus_l_2,vanilla,ok,1092
allsides,allsides_coronavirus_l_3,cot_fewshot_mft,ok,1053
allsides,allsides_coronavirus_l_3,cot_fewshot,ok,1322
allsides,allsides_coronavirus_l_3,cot,ok,1115
allsides,allsides_coronavirus_l_3,oracle,ok,1218
allsides,allsides_coronavirus_l_3,simple_fewshot_mft,ok,1062
allsides,allsides_coronavirus_l_3,simple_fewshot,ok,896
allsides,allsides_coronavirus_l_3,simple,ok,1060
allsides,allsides_coronavirus_l_3,vanilla,ok,1247
allsides,allsides_coronavirus_l_4,cot_fewshot_mft,ok,1098
allsides,allsides_coronavirus_l_4,cot_fewshot,format_miss,1208
allsides,allsides_coronavirus_l_4,cot,refusal,130
allsides,allsides_coronavirus_l_4,oracle,refusal,197
allsides,allsides_coronavirus_l_4,simple_fewshot_mft,ok,1236
allsides,allsides_coronavirus_l_4,simple_fewshot,ok,915
allsides,allsides_coronavirus_l_4,simple,refusal,174
allsides,allsides_coronavirus_l_4,vanilla,ok,1149
allsides,allsides_coronavirus_l_5,cot_fewshot_mft,format_miss,1199
allsides,allsides_coronavirus_l_5,cot_fewshot,format_miss,1239
allsides,allsides_coronavirus_l_5,cot,refusal,157
allsides,allsides_coronavirus_l_5,oracle,refusal,203
allsides,allsides_coronavirus_l_5,simple_fewshot_mft,ok,1035
allsides,allsides_coronavirus_l_5,simple_fewshot,ok,984
allsides,allsides_coronavirus_l_5,simple,ok,1092
allsides,allsides_coronavirus_l_5,vanilla,ok,1027
allsides,allsides_coronavirus_r_1,cot_fewshot_mft,ok,1305
allsides,allsides_coronavirus_r_1,cot_fewshot,ok,1098
allsides,allsides_coronavirus_r_1,cot,ok,1124
allsides,allsides_coronavirus_r_1,oracle,refusal,133
allsides,allsides_coronavirus_r_1,simple_fewshot_mft,ok,1003
allsides,allsides_coronavirus_r_1,simple_fewshot,ok,1089
allsides,allsides_coronavirus_r_1,simple,ok,1011
allsides,allsides_coronavirus_r_1,vanilla,ok,895
allsides,allsides_coronavirus_r_2,cot_fewshot_mft,ok,1319
allsides,allsides_coronavirus_r_2,cot_fewshot,format_miss,1169
allsides,allsides_coronavirus_r_2,cot,ok,1196
allsides,allsides_coronavirus_r_2,oracle,refusal,120
allsides,allsides_coronavirus_r_2,simple_fewshot_mft,ok,1432
allsides,allsides_coronavirus_r_2,simple_fewshot,ok,990
allsides,allsides_coronavirus_r_2,simple,ok,925
allsides,allsides_coronavirus_r_2,vanilla,ok,881
allsides,allsides_coronavirus_r_3,cot_fewshot_mft,ok,1144
allsides,allsides_coronavirus_r_3,cot_fewshot,ok,1128
allsides,allsides_coronavirus_r_3,cot,ok,1197
allsides,allsides_coronavirus_r_3,oracle,refusal,184
allsides,allsides_coronavirus_r_3,simple_fewshot_mft,ok,1068
allsides,allsides_coronavirus_r_3,simple_fewshot,ok,1023
allsides,allsides_coronavirus_r_3,simple,ok,1156
allsides,allsides_coronavirus_r_3,vanilla,ok,969
allsides,allsides_coronavirus_r_4,cot_fewshot_mft,ok,1189
allsides,allsides_coronavirus_r_4,cot_fewshot,ok,1160
allsides,allsides_coronavirus_r_4,cot,refusal,110
allsides,allsides_coronavirus_r_4,oracle,refusal,143
allsides,allsides_coronavirus_r_4,simple_fewshot_mft,ok,1037
allsides,allsides_coronavirus_r_4,simple_fewshot,ok,1120
allsides,allsides_coronavirus_r_4,simple,refusal,110
allsides,allsides_coronavirus_r_4,vanilla,ok,1101
allsides,allsides_coronavirus_r_5,cot_fewshot_mft,ok,1338
allsides,allsides_coronavirus_r_5,cot_fewshot,ok,1099
allsides,allsides_coronavirus_r_5,cot,refusal,236
allsides,allsides_coronavirus_r_5,oracle,refusal,355
allsides,allsides_coronavirus_r_5,simple_fewshot_mft,ok,1267
allsides,allsides_coronavirus_r_5,simple_fewshot,ok,857
allsides,allsides_coronavirus_r_5,simple,ok,1017
allsides,allsides_coronavirus_r_5,vanilla,ok,1140
allsides,allsides_elections_c_1,cot_fewshot_mft,ok,1189
allsides,allsides_elections_c_1,cot_fewshot,ok,1179
allsides,allsides_elections_c_1,cot,refusal,111
allsides,allsides_elections_c_1,oracle,ok,1251
allsides,allsides_elections_c_1,simple_fewshot_mft,ok,975
allsides,allsides_elections_c_1,simple_fewshot,format_miss,880
allsides,allsides_elections_c_1,simple,ok,1106
allsides,allsides_elections_c_1,vanilla,ok,884
allsides,allsides_elections_c_2,cot_fewshot_mft,ok,1126
allsides,allsides_elections_c_2,cot_fewshot,ok,1007
allsides,allsides_elections_c_2,cot,ok,1067
allsides,allsides_elections_c_2,oracle,refusal,193
allsides,allsides_elections_c_2,simple_fewshot_mft,ok,1099
allsides,allsides_elections_c_2,simple_fewshot,ok,927
allsides,allsides_elections_c_2,simple,ok,945
allsides,allsides_elections_c_2,vanilla,ok,1089
allsides,allsides_elections_c_3,cot_fewshot_mft,ok,1195
allsides,allsides_elections_c_3,cot_fewshot,ok,1409
allsides,allsides_elections_c_3,cot,ok,1150
allsides,allsides_elections_c_3,oracle,ok,1042
allsides,allsides_elections_c_3,simple_fewshot_mft,ok,1054
allsides,allsides_elections_c_3,simple_fewshot,ok,784
allsides,allsides_elections_c_3,simple,ok,1198
allsides,allsides_elections_c_3,vanilla,ok,1104
allsides,allsides_elections_c_4,cot_fewshot_mft,ok,1044
allsides,allsides_elections_c_4,cot_fewshot,format_miss,1106
allsides,allsides_elections_c_4,cot,ok,1202
allsides,allsides_elections_c_4,oracle,ok,862
allsides,allsides_elections_c_4,simple_fewshot_mft,ok,1330
allsides,allsides_elections_c_4,simple_fewshot,ok,1114
allsides,allsides_elections_c_4,simple,ok,1062
allsides,allsides_elections_c_4,vanilla,ok,1127
allsides,allsides_elections_c_5,cot_fewshot_mft,ok,1279
allsides,allsides_elections_c_5,cot_fewshot,format_miss,1031
allsides,allsides_elections_c_5,cot,ok,1076
allsides,allsides_elections_c_5,oracle,ok,1135
allsides,allsides_elections_c_5,simple_fewshot_mft,ok,1091
allsides,allsides_elections_c_5,simple_fewshot,ok,1068
allsides,allsides_elections_c_5,simple,ok,998
allsides,allsides_elections_c_5,vanilla,ok,1138
allsides,allsides_elections_l_1,cot_fewshot_mft,ok,1200
allsides,allsides_elections_l_1,cot_fewshot,refusal,110
allsides,allsides_elections_l_1,cot,refusal,128
allsides,allsides_elections_l_1,oracle,refusal,101
allsides,allsides_elections_l_1,simple_fewshot_mft,ok,1428
allsides,allsides_elections_l_1,simple_fewshot,ok,1406
allsides,allsides_elections_l_1,simple,refusal,162
allsides,allsides_elections_l_1,vanilla,ok,1126
allsides,allsides_elections_l_2,cot_fewshot_mft,ok,1088
allsides,allsides_elections_l_2,cot_fewshot,ok,1095
allsides,allsides_elections_l_2,cot,refusal,164
allsides,allsides_elections_l_2,oracle,refusal,142
allsides,allsides_elections_l_2,simple_fewshot_mft,ok,1201
allsides,allsides_elections_l_2,simple_fewshot,ok,1076
allsides,allsides_elections_l_2,simple,refusal,133
allsides,allsides_elections_l_2,vanilla,ok,794
allsides,allsides_elections_l_3,cot_fewshot_mft,ok,1239
allsides,allsides_elections_l_3,cot_fewshot,ok,1090
allsides,allsides_elections_l_3,cot,refusal,132
allsides,allsides_elections_l_3,oracle,refusal,151
allsides,allsides_elections_l_3,simple_fewshot_mft,ok,1108
allsides,allsides_elections_l_3,simple_fewshot,ok,962
allsides,allsides_elections_l_3,simple,ok,1045
allsides,allsides_elections_l_3,vanilla,format_miss,1036
allsides,allsides_elections_l_4,cot_fewshot_mft,ok,1178
allsides,allsides_elections_l_4,cot_fewshot,ok,1119
allsides,allsides_elections_l_4,cot,refusal,157
allsides,allsides_elections_l_4,oracle,refusal,219
allsides,allsides_elections_l_4,simple_fewshot_mft,ok,1328
allsides,allsides_elections_l_4,simple_fewshot,ok,1031
allsides,allsides_elections_l_4,simple,ok,1227
allsides,allsides_elections_l_4,vanilla,ok,1046
allsides,allsides_elections_l_5,cot_fewshot_mft,format_miss,1085
allsides,allsides_elections_l_5,cot_fewshot,ok,1159
allsides,allsides_elections_l_5,cot,ok,1083
allsides,allsides_elections_l_5,oracle,ok,1101
allsides,allsides_elections_l_5,simple_fewshot_mft,ok,1047
allsides,allsides_elections_l_5,simple_fewshot,ok,899
allsides,allsides_elections_l_5,simple,ok,1197
allsides,allsides_elections_l_5,vanilla,ok,1037
allsides,allsides_elections_r_1,cot_fewshot_mft,ok,1329
allsides,allsides_elections_r_1,cot_fewshot,ok,1147
allsides,allsides_elections_r_1,cot,refusal,144
allsides,allsides_elections_r_1,oracle,refusal,105
allsides,allsides_elections_r_1,simple_fewshot_mft,ok,1151
allsides,allsides_elections_r_1,simple_fewshot,ok,1063
allsides,allsides_elections_r_1,simple,refusal,183
allsides,allsides_elections_r_1,vanilla,format_miss,1039
allsides,allsides_elections_r_2,cot_fewshot_mft,ok,1126
allsides,allsides_elections_r_2,cot_fewshot,format_miss,1296
allsides,allsides_elections_r_2,cot,refusal,111
allsides,allsides_elections_r_2,oracle,refusal,266
allsides,allsides_elections_r_2,simple_fewshot_mft,ok,1302
allsides,allsides_elections_r_2,simple_fewshot,ok,1017
allsides,allsides_elections_r_2,simple,refusal,104
allsides,allsides_elections_r_2,vanilla,ok,944
allsides,allsides_elections_r_3,cot_fewshot_mft,format_miss,1396
allsides,allsides_elections_r_3,cot_fewshot,ok,1433
allsides,allsides_elections_r_3,cot,refusal,144
allsides,allsides_elections_r_3,oracle,refusal,180
allsides,allsides_elections_r_3,simple_fewshot_mft,ok,1087
allsides,allsides_elections_r_3,simple_fewshot,ok,1100
allsides,allsides_elections_r_3,simple,refusal,225
allsides,allsides_elections_r_3,vanilla,ok,1079
allsides,allsides_elections_r_4,cot_fewshot_mft,ok,1248
allsides,allsides_elections_r_4,cot_fewshot,ok,1358
allsides,allsides_elections_r_4,cot,refusal,174
allsides,allsides_elections_r_4,oracle,refusal,216
allsides,allsides_elections_r_4,simple_fewshot_mft,ok,1044
allsides,allsides_elections_r_4,simple_fewshot,ok,1017
allsides,allsides_elections_r_4,simple,ok,945
allsides,allsides_elections_r_4,vanilla,ok,881
allsides,allsides_elections_r_5,cot_fewshot_mft,format_miss,1226
allsides,allsides_elections_r_5,cot_fewshot,ok,1216
allsides,allsides_elections_r_5,cot,refusal,143
allsides,allsides_elections_r_5,oracle,refusal,153
allsides,allsides_elections_r_5,simple_fewshot_mft,ok,926
allsides,allsides_elections_r_5,simple_fewshot,ok,1083
allsides,allsides_elections_r_5,simple,refusal,134
allsides,allsides_elections_r_5,vanilla,ok,1132
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot_mft,ok,2440
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot,format_miss,1048
allsides,allsides_gun_control_and_gun_rights_c_1,cot,ok,1008
allsides,allsides_gun_control_and_gun_rights_c_1,oracle,ok,898
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot_mft,ok,937
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot,ok,832
allsides,allsides_gun_control_and_gun_rights_c_1,simple,ok,749
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,ok,850
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot_mft,ok,985
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot,ok,1008
allsides,allsides_gun_control_and_gun_rights_c_2,cot,ok,994
allsides,allsides_gun_control_and_gun_rights_c_2,oracle,refusal,165
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot_mft,ok,910
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot,ok,1035
allsides,allsides_gun_control_and_gun_rights_c_2,simple,ok,740
allsides,allsides_gun_control_and_gun_rights_c_2,vanilla,ok,856
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot_mft,ok,1180
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot,ok,1182
allsides,allsides_gun_control_and_gun_rights_c_3,cot,refusal,146
allsides,allsides_gun_control_and_gun_rights_c_3,oracle,refusal,205
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot_mft,ok,1359
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot,ok,961
allsides,allsides_gun_control_and_gun_rights_c_3,simple,refusal,172
allsides,allsides_gun_control_and_gun_rights_c_3,vanilla,ok,969
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot_mft,ok,1335
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot,ok,1131
allsides,allsides_gun_control_and_gun_rights_c_4,cot,ok,952
allsides,allsides_gun_control_and_gun_rights_c_4,oracle,refusal,225
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot_mft,ok,1263
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot,ok,1024
allsides,allsides_gun_control_and_gun_rights_c_4,simple,ok,1070
allsides,allsides_gun_control_and_gun_rights_c_4,vanilla,ok,1133
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot_mft,format_miss,1130
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot,format_miss,1166
allsides,allsides_gun_control_and_gun_rights_c_5,cot,refusal,144
allsides,allsides_gun_control_and_gun_rights_c_5,oracle,ok,1121
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot_mft,ok,1308
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot,ok,956
allsides,allsides_gun_control_and_gun_rights_c_5,simple,ok,964
allsides,allsides_gun_control_and_gun_rights_c_5,vanilla,format_miss,1145
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot_mft,ok,1143
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot,ok,1351
allsides,allsides_gun_control_and_gun_rights_l_1,cot,ok,1167
allsides,allsides_gun_control_and_gun_rights_l_1,oracle,ok,1093
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot_mft,ok,976
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot,ok,944
allsides,allsides_gun_control_and_gun_rights_l_1,simple,ok,1163
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,ok,984
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot_mft,ok,1064
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot,format_miss,1181
allsides,allsides_gun_control_and_gun_rights_l_2,cot,ok,1049
allsides,allsides_gun_control_and_gun_rights_l_2,oracle,refusal,120
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot_mft,ok,1176
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot,ok,1034
allsides,allsides_gun_control_and_gun_rights_l_2,simple,ok,1142
allsides,allsides_gun_control_and_gun_rights_l_2,vanilla,ok,1179
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot_mft,ok,1193
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot,ok,1167
allsides,allsides_gun_control_and_gun_rights_l_3,cot,refusal,201
allsides,allsides_gun_control_and_gun_rights_l_3,oracle,refusal,149
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot_mft,ok,936
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot,ok,1008
allsides,allsides_gun_control_and_gun_rights_l_3,simple,refusal,168
allsides,allsides_gun_control_and_gun_rights_l_3,vanilla,ok,954
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot_mft,ok,1376
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot,format_miss,1162
allsides,allsides_gun_control_and_gun_rights_l_4,cot,refusal,133
allsides,allsides_gun_control_and_gun_rights_l_4,oracle,ok,1156
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot_mft,ok,1046
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot,ok,1042
allsides,allsides_gun_control_and_gun_rights_l_4,simple,ok,1088
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,ok,1125
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot_mft,ok,1202
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot,format_miss,1242
allsides,allsides_gun_control_and_gun_rights_l_5,cot,ok,1028
allsides,allsides_gun_control_and_gun_rights_l_5,oracle,ok,1102
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot_mft,ok,1101
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot,ok,975
allsides,allsides_gun_control_and_gun_rights_l_5,simple,ok,1031
allsides,allsides_gun_control_and_gun_rights_l_5,vanilla,ok,1230
allsides,allsides_gun_control_and_gun_rights_r_1,cot_fewshot_mft,ok,1077
allsides,allsides_gun_control_and_gun_rights_r_1,cot_fewshot,format_miss,1301
allsides,allsides_gun_control_and_gun_rights_r_1,cot,refusal,138
allsides,allsides_gun_control_and_gun_rights_r_1,oracle,refusal,144
allsides,allsides_gun_control_and_gun_rights_r_1,simple_fewshot_mft,ok,987
allsides,allsides_gun_control_and_gun_rights_r_1,simple_fewshot,ok,1002
allsides,allsides_gun_control_and_gun_rights_r_1,simple,ok,983
allsides,allsides_gun_control_and_gun_rights_r_1,vanilla,ok,958
allsides,allsides_gun_control_and_gun_rights_r_2,cot_fewshot_mft,ok,1168
allsides,allsides_gun_control_and_gun_rights_r_2,cot_fewshot,ok,1144
allsides,allsides_gun_control_and_gun_rights_r_2,cot,refusal,108
allsides,allsides_gun_control_and_gun_rights_r_2,oracle,ok,868
allsides,allsides_gun_control_and_gun_rights_r_2,simple_fewshot_mft,ok,1038
allsides,allsides_gun_control_and_gun_rights_r_2,simple_fewshot,ok,942
