dataset,article,strategy,value,metric
allsides,allsides_gun_control_and_gun_rights_r_2,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_3,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_4,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_5,vanilla,11.0,moral_count
allsides,allsides_immigration_c_1,vanilla,3.0,moral_count
allsides,allsides_immigration_c_2,vanilla,,moral_count
allsides,allsides_immigration_c_3,vanilla,10.0,moral_count
allsides,allsides_immigration_c_4,vanilla,,moral_count
allsides,allsides_immigration_c_5,vanilla,,moral_count
allsides,allsides_immigration_l_1,vanilla,8.0,moral_count
allsides,allsides_immigration_l_2,vanilla,12.0,moral_count
allsides,allsides_immigration_l_3,vanilla,5.0,moral_count
allsides,allsides_immigration_l_4,vanilla,,moral_count
allsides,allsides_immigration_l_5,vanilla,,moral_count
allsides,allsides_immigration_r_1,vanilla,,moral_count
allsides,allsides_immigration_r_2,vanilla,,moral_count
allsides,allsides_immigration_r_3,vanilla,,moral_count
allsides,allsides_immigration_r_4,vanilla,,moral_count
allsides,allsides_immigration_r_5,vanilla,,moral_count
allsides,allsides_lgbt_rights_c_1,vanilla,9.0,moral_count
allsides,allsides_lgbt_rights_c_2,vanilla,5.0,moral_count
allsides,allsides_lgbt_rights_c_3,vanilla,,moral_count
allsides,allsides_lgbt_rights_c_4,vanilla,,moral_count
allsides,allsides_lgbt_rights_c_5,vanilla,3.0,moral_count
allsides,allsides_lgbt_rights_l_1,vanilla,,moral_count
allsides,allsides_lgbt_rights_l_2,vanilla,,moral_count
allsides,allsides_lgbt_rights_l_3,vanilla,,moral_count
allsides,allsides_lgbt_rights_l_4,vanilla,,moral_count
allsides,allsides_lgbt_rights_l_5,vanilla,11.0,moral_count
allsides,allsides_lgbt_rights_r_1,vanilla,5.0,moral_count
allsides,allsides_lgbt_rights_r_2,vanilla,4.0,moral_count
allsides,allsides_lgbt_rights_r_3,vanilla,,moral_count
allsides,allsides_lgbt_rights_r_4,vanilla,,moral_count
allsides,allsides_lgbt_rights_r_5,vanilla,8.0,moral_count
allsides,allsides_politics_c_1,vanilla,,moral_count
allsides,allsides_politics_c_2,vanilla,7.0,moral_count
allsides,allsides_politics_c_3,vanilla,,moral_count
allsides,allsides_politics_c_4,vanilla,,moral_count
allsides,allsides_politics_c_5,vanilla,,moral_count
allsides,allsides_politics_l_1,vanilla,6.0,moral_count
allsides,allsides_politics_l_2,vanilla,,moral_count
allsides,allsides_politics_l_3,vanilla,,moral_count
allsides,allsides_politics_l_4,vanilla,,moral_count
allsides,allsides_politics_l_5,vanilla,,moral_count
allsides,allsides_politics_r_1,vanilla,1.0,moral_count
allsides,allsides_politics_r_2,vanilla,,moral_count
allsides,allsides_politics_r_3,vanilla,,moral_count
allsides,allsides_politics_r_4,vanilla,,moral_count
allsides,allsides_politics_r_5,vanilla,4.0,moral_count
allsides,allsides_race_and_racism_c_1,vanilla,7.0,moral_count
allsides,allsides_race_and_racism_c_2,vanilla,,moral_count
allsides,allsides_race_and_racism_c_3,vanilla,,moral_count
allsides,allsides_race_and_racism_c_4,vanilla,7.0,moral_count
allsides,allsides_race_and_racism_c_5,vanilla,,moral_count
allsides,allsides_race_and_racism_l_1,vanilla,7.0,moral_count
allsides,allsides_race_and_racism_l_2,vanilla,10.0,moral_count
allsides,allsides_race_and_racism_l_3,vanilla,,moral_count
allsides,allsides_race_and_racism_l_4,vanilla,,moral_count
allsides,allsides_race_and_racism_l_5,vanilla,,moral_count
allsides,allsides_race_and_racism_r_1,vanilla,,moral_count
allsides,allsides_race_and_racism_r_2,vanilla,,moral_count
allsides,allsides_race_and_racism_r_3,vanilla,,moral_count
allsides,allsides_race_and_racism_r_4,vanilla,,moral_count
allsides,allsides_race_and_racism_r_5,vanilla,5.0,moral_count
allsides,allsides_us_house_c_1,vanilla,,moral_count
allsides,allsides_us_house_c_2,vanilla,,moral_count
allsides,allsides_us_house_c_3,vanilla,,moral_count
allsides,allsides_us_house_c_4,vanilla,,moral_count
allsides,allsides_us_house_c_5,vanilla,,moral_count
allsides,allsides_us_house_l_1,vanilla,,moral_count
allsides,allsides_us_house_l_2,vanilla,,moral_count
allsides,allsides_us_house_l_3,vanilla,,moral_count
allsides,allsides_us_house_l_4,vanilla,,moral_count
allsides,allsides_us_house_l_5,vanilla,11.0,moral_count
allsides,allsides_us_house_r_1,vanilla,2.0,moral_count
allsides,allsides_us_house_r_2,vanilla,,moral_count
allsides,allsides_us_house_r_3,vanilla,,moral_count
allsides,allsides_us_house_r_4,vanilla,,moral_count
allsides,allsides_us_house_r_5,vanilla,6.0,moral_count
allsides,allsides_us_senate_c_1,vanilla,,moral_count
allsides,allsides_us_senate_c_2,vanilla,,moral_count
allsides,allsides_us_senate_c_3,vanilla,6.0,moral_count
allsides,allsides_us_senate_c_4,vanilla,5.0,moral_count
allsides,allsides_us_senate_c_5,vanilla,,moral_count
allsides,allsides_us_senate_l_1,vanilla,,moral_count
allsides,allsides_us_senate_l_2,vanilla,,moral_count
allsides,allsides_us_senate_l_3,vanilla,9.0,moral_count
allsides,allsides_us_senate_l_4,vanilla,,moral_count
allsides,allsides_us_senate_l_5,vanilla,5.0,moral_count
allsides,allsides_us_senate_r_1,vanilla,4.0,moral_count
allsides,allsides_us_senate_r_2,vanilla,3.0,moral_count
allsides,allsides_us_senate_r_3,vanilla,5.0,moral_count
allsides,allsides_us_senate_r_4,vanilla,,moral_count
allsides,allsides_us_senate_r_5,vanilla,5.0,moral_count
allsides,allsides_violence_in_america_c_1,vanilla,,moral_count
allsides,allsides_violence_in_america_c_2,vanilla,7.0,moral_count
allsides,allsides_violence_in_america_c_3,vanilla,,moral_count
allsides,allsides_violence_in_america_c_4,vanilla,14.0,moral_count
allsides,allsides_violence_in_america_c_5,vanilla,10.0,moral_count
allsides,allsides_violence_in_america_l_1,vanilla,,moral_count
allsides,allsides_violence_in_america_l_2,vanilla,,moral_count
allsides,allsides_violence_in_america_l_3,vanilla,8.0,moral_count
allsides,allsides_violence_in_america_l_4,vanilla,,moral_count
allsides,allsides_violence_in_america_l_5,vanilla,,moral_count
allsides,allsides_violence_in_america_r_1,vanilla,,moral_count
allsides,allsides_violence_in_america_r_2,vanilla,,moral_count
allsides,allsides_violence_in_america_r_3,vanilla,6.0,moral_count
allsides,allsides_violence_in_america_r_4,vanilla,,moral_count
allsides,allsides_violence_in_america_r_5,vanilla,,moral_count
allsides,allsides_white_house_c_1,vanilla,,moral_count
allsides,allsides_white_house_c_2,vanilla,,moral_count
allsides,allsides_white_house_c_3,vanilla,,moral_count
allsides,allsides_white_house_c_4,vanilla,,moral_count
allsides,allsides_white_house_c_5,vanilla,,moral_count
allsides,allsides_white_house_l_1,vanilla,,moral_count
allsides,allsides_white_house_l_2,vanilla,,moral_count
allsides,allsides_white_house_l_3,vanilla,9.0,moral_count
allsides,allsides_white_house_l_4,vanilla,,moral_count
allsides,allsides_white_house_l_5,vanilla,,moral_count
allsides,allsides_white_house_r_1,vanilla,,moral_count
allsides,allsides_white_house_r_2,vanilla,,moral_count
allsides,allsides_white_house_r_3,vanilla,,moral_count
allsides,allsides_white_house_r_4,vanilla,,moral_count
allsides,allsides_white_house_r_5,vanilla,,moral_count
basil,basil_0_fox,vanilla,,moral_count
basil,basil_0_hpo,vanilla,,moral_count
basil,basil_0_nyt,vanilla,,moral_count
basil,basil_10_fox,vanilla,,moral_count
basil,basil_10_hpo,vanilla,,moral_count
basil,basil_10_nyt,vanilla,,moral_count
basil,basil_15_fox,vanilla,,moral_count
basil,basil_15_hpo,vanilla,,moral_count
basil,basil_15_nyt,vanilla,,moral_count
basil,basil_17_fox,vanilla,,moral_count
basil,basil_17_hpo,vanilla,,moral_count
basil,basil_17_nyt,vanilla,,moral_count
basil,basil_18_fox,vanilla,,moral_count
basil,basil_18_hpo,vanilla,,moral_count
basil,basil_18_nyt,vanilla,,moral_count
basil,basil_19_fox,vanilla,,moral_count
basil,basil_19_hpo,vanilla,,moral_count
basil,basil_19_nyt,vanilla,,moral_count
basil,basil_20_fox,vanilla,,moral_count
basil,basil_20_hpo,vanilla,,moral_count
basil,basil_20_nyt,vanilla,,moral_count
basil,basil_22_fox,vanilla,,moral_count
basil,basil_22_hpo,vanilla,,moral_count
basil,basil_22_nyt,vanilla,,moral_count
basil,basil_25_fox,vanilla,,moral_count
basil,basil_25_hpo,vanilla,,moral_count
basil,basil_25_nyt,vanilla,,moral_count
basil,basil_27_fox,vanilla,,moral_count
basil,basil_27_hpo,vanilla,,moral_count
basil,basil_27_nyt,vanilla,,moral_count
basil,basil_28_fox,vanilla,,moral_count
basil,basil_28_hpo,vanilla,,moral_count
basil,basil_28_nyt,vanilla,,moral_count
basil,basil_30_fox,vanilla,,moral_count
basil,basil_30_hpo,vanilla,,moral_count
basil,basil_30_nyt,vanilla,,moral_count
basil,basil_34_fox,vanilla,,moral_count
basil,basil_34_hpo,vanilla,,moral_count
basil,basil_34_nyt,vanilla,,moral_count
basil,basil_35_fox,vanilla,,moral_count
basil,basil_35_hpo,vanilla,,moral_count
basil,basil_35_nyt,vanilla,,moral_count
basil,basil_38_fox,vanilla,,moral_count
basil,basil_38_hpo,vanilla,,moral_count
basil,basil_38_nyt,vanilla,,moral_count
basil,basil_39_fox,vanilla,,moral_count
basil,basil_39_hpo,vanilla,,moral_count
basil,basil_39_nyt,vanilla,,moral_count
basil,basil_3_fox,vanilla,,moral_count
basil,basil_3_hpo,vanilla,,moral_count
basil,basil_3_nyt,vanilla,,moral_count
basil,basil_42_fox,vanilla,,moral_count
basil,basil_42_hpo,vanilla,,moral_count
basil,basil_42_nyt,vanilla,,moral_count
basil,basil_43_fox,vanilla,,moral_count
basil,basil_43_hpo,vanilla,,moral_count
basil,basil_43_nyt,vanilla,,moral_count
basil,basil_44_fox,vanilla,,moral_count
basil,basil_44_hpo,vanilla,,moral_count
basil,basil_44_nyt,vanilla,,moral_count
basil,basil_48_fox,vanilla,,moral_count
basil,basil_48_hpo,vanilla,,moral_count
basil,basil_48_nyt,vanilla,,moral_count
basil,basil_49_fox,vanilla,,moral_count
basil,basil_49_hpo,vanilla,,moral_count
basil,basil_49_nyt,vanilla,,moral_count
basil,basil_4_fox,vanilla,,moral_count
basil,basil_4_hpo,vanilla,,moral_count
basil,basil_4_nyt,vanilla,,moral_count
basil,basil_50_fox,vanilla,,moral_count
basil,basil_50_hpo,vanilla,,moral_count
basil,basil_50_nyt,vanilla,,moral_count
basil,basil_52_fox,vanilla,,moral_count
basil,basil_52_hpo,vanilla,,moral_count
basil,basil_52_nyt,vanilla,,moral_count
basil,basil_54_fox,vanilla,,moral_count
basil,basil_54_hpo,vanilla,,moral_count
basil,basil_54_nyt,vanilla,,moral_count
basil,basil_56_fox,vanilla,,moral_count
basil,basil_56_hpo,vanilla,,moral_count
basil,basil_56_nyt,vanilla,,moral_count
basil,basil_58_fox,vanilla,,moral_count
basil,basil_58_hpo,vanilla,,moral_count
basil,basil_58_nyt,vanilla,,moral_count
basil,basil_5_fox,vanilla,,moral_count
basil,basil_5_hpo,vanilla,,moral_count
basil,basil_5_nyt,vanilla,,moral_count
basil,basil_60_fox,vanilla,,moral_count
basil,basil_60_hpo,vanilla,,moral_count
basil,basil_60_nyt,vanilla,,moral_count
basil,basil_61_fox,vanilla,,moral_count
basil,basil_61_hpo,vanilla,,moral_count
basil,basil_61_nyt,vanilla,,moral_count
basil,basil_64_fox,vanilla,,moral_count
basil,basil_64_hpo,vanilla,,moral_count
basil,basil_64_nyt,vanilla,,moral_count
basil,basil_65_fox,vanilla,,moral_count
basil,basil_65_hpo,vanilla,,moral_count
basil,basil_65_nyt,vanilla,,moral_count
basil,basil_67_fox,vanilla,,moral_count
basil,basil_67_hpo,vanilla,,moral_count
basil,basil_67_nyt,vanilla,,moral_count
basil,basil_70_fox,vanilla,,moral_count
basil,basil_70_hpo,vanilla,,moral_count
basil,basil_70_nyt,vanilla,,moral_count
basil,basil_72_fox,vanilla,,moral_count
basil,basil_72_hpo,vanilla,,moral_count
basil,basil_72_nyt,vanilla,,moral_count
basil,basil_74_fox,vanilla,,moral_count
basil,basil_74_hpo,vanilla,,moral_count
basil,basil_74_nyt,vanilla,,moral_count
basil,basil_76_fox,vanilla,,moral_count
basil,basil_76_hpo,vanilla,,moral_count
basil,basil_76_nyt,vanilla,,moral_count
basil,basil_79_fox,vanilla,,moral_count
basil,basil_79_hpo,vanilla,,moral_count
basil,basil_79_nyt,vanilla,,moral_count
basil,basil_80_fox,vanilla,,moral_count
basil,basil_80_hpo,vanilla,,moral_count
basil,basil_80_nyt,vanilla,,moral_count
basil,basil_84_fox,vanilla,,moral_count
basil,basil_84_hpo,vanilla,,moral_count
basil,basil_84_nyt,vanilla,,moral_count
basil,basil_85_fox,vanilla,,moral_count
basil,basil_85_hpo,vanilla,,moral_count
basil,basil_85_nyt,vanilla,,moral_count
basil,basil_88_fox,vanilla,,moral_count
basil,basil_88_hpo,vanilla,,moral_count
basil,basil_88_nyt,vanilla,,moral_count
basil,basil_89_fox,vanilla,,moral_count
basil,basil_89_hpo,vanilla,,moral_count
basil,basil_89_nyt,vanilla,,moral_count
basil,basil_8_fox,vanilla,,moral_count
basil,basil_8_hpo,vanilla,,moral_count
basil,basil_8_nyt,vanilla,,moral_count
basil,basil_90_fox,vanilla,,moral_count
basil,basil_90_hpo,vanilla,,moral_count
basil,basil_90_nyt,vanilla,,moral_count
basil,basil_92_fox,vanilla,,moral_count
basil,basil_92_hpo,vanilla,,moral_count
basil,basil_92_nyt,vanilla,,moral_count
basil,basil_93_fox,vanilla,,moral_count
basil,basil_93_hpo,vanilla,,moral_count
basil,basil_93_nyt,vanilla,,moral_count
basil,basil_97_fox,vanilla,,moral_count
basil,basil_97_hpo,vanilla,,moral_count
basil,basil_97_nyt,vanilla,,moral_count
basil,basil_99_fox,vanilla,,moral_count
basil,basil_99_hpo,vanilla,,moral_count
basil,basil_99_nyt,vanilla,,moral_count
mpqa,mpqa_0,vanilla,,moral_count
mpqa,mpqa_1,vanilla,,moral_count
mpqa,mpqa_10,vanilla,,moral_count
mpqa,mpqa_11,vanilla,,moral_count
mpqa,mpqa_12,vanilla,,moral_count
mpqa,mpqa_13,vanilla,,moral_count
mpqa,mpqa_14,vanilla,,moral_count
mpqa,mpqa_15,vanilla,,moral_count
mpqa,mpqa_16,vanilla,,moral_count
mpqa,mpqa_17,vanilla,,moral_count
mpqa,mpqa_18,vanilla,,moral_count
mpqa,mpqa_19,vanilla,,moral_count
mpqa,mpqa_2,vanilla,,moral_count
mpqa,mpqa_20,vanilla,,moral_count
mpqa,mpqa_21,vanilla,,moral_count
mpqa,mpqa_22,vanilla,,moral_count
mpqa,mpqa_23,vanilla,,moral_count
mpqa,mpqa_24,vanilla,,moral_count
mpqa,mpqa_25,vanilla,,moral_count
mpqa,mpqa_26,vanilla,,moral_count
mpqa,mpqa_27,vanilla,,moral_count
mpqa,mpqa_28,vanilla,,moral_count
mpqa,mpqa_29,vanilla,,moral_count
mpqa,mpqa_3,vanilla,,moral_count
mpqa,mpqa_30,vanilla,,moral_count
mpqa,mpqa_31,vanilla,,moral_count
mpqa,mpqa_32,vanilla,,moral_count
mpqa,mpqa_33,vanilla,,moral_count
mpqa,mpqa_34,vanilla,,moral_count
mpqa,mpqa_35,vanilla,,moral_count
mpqa,mpqa_36,vanilla,,moral_count
mpqa,mpqa_37,vanilla,,moral_count
mpqa,mpqa_38,vanilla,,moral_count
mpqa,mpqa_39,vanilla,,moral_count
mpqa,mpqa_4,vanilla,,moral_count
mpqa,mpqa_40,vanilla,,moral_count
mpqa,mpqa_41,vanilla,,moral_count
mpqa,mpqa_42,vanilla,,moral_count
mpqa,mpqa_43,vanilla,,moral_count
mpqa,mpqa_44,vanilla,,moral_count
mpqa,mpqa_45,vanilla,,moral_count
mpqa,mpqa_46,vanilla,,moral_count
mpqa,mpqa_47,vanilla,,moral_count
mpqa,mpqa_48,vanilla,,moral_count
mpqa,mpqa_49,vanilla,,moral_count
mpqa,mpqa_5,vanilla,,moral_count
mpqa,mpqa_50,vanilla,,moral_count
mpqa,mpqa_51,vanilla,,moral_count
mpqa,mpqa_52,vanilla,,moral_count
mpqa,mpqa_53,vanilla,,moral_count
mpqa,mpqa_54,vanilla,,moral_count
mpqa,mpqa_55,vanilla,,moral_count
mpqa,mpqa_56,vanilla,,moral_count
mpqa,mpqa_57,vanilla,,moral_count
mpqa,mpqa_58,vanilla,,moral_count
mpqa,mpqa_59,vanilla,,moral_count
mpqa,mpqa_6,vanilla,,moral_count
mpqa,mpqa_60,vanilla,,moral_count
mpqa,mpqa_61,vanilla,,moral_count
mpqa,mpqa_62,vanilla,,moral_count
mpqa,mpqa_63,vanilla,,moral_count
mpqa,mpqa_64,vanilla,,moral_count
mpqa,mpqa_65,vanilla,,moral_count
mpqa,mpqa_66,vanilla,,moral_count
mpqa,mpqa_67,vanilla,,moral_count
mpqa,mpqa_68,vanilla,,moral_count
mpqa,mpqa_69,vanilla,,moral_count
mpqa,mpqa_7,vanilla,,moral_count
mpqa,mpqa_8,vanilla,,moral_count
mpqa,mpqa_9,vanilla,,moral_count
allsides,allsides_abortion_c_1,simple,7.0,moral_count
allsides,allsides_abortion_c_2,simple,,moral_count
allsides,allsides_abortion_c_3,simple,,moral_count
allsides,allsides_abortion_c_4,simple,,moral_count
allsides,allsides_abortion_c_5,simple,1.0,moral_count
allsides,allsides_abortion_l_1,simple,9.0,moral_count
allsides,allsides_abortion_l_2,simple,,moral_count
allsides,allsides_abortion_l_3,simple,,moral_count
allsides,allsides_abortion_l_4,simple,,moral_count
allsides,allsides_abortion_l_5,simple,5.0,moral_count
allsides,allsides_abortion_r_1,simple,,moral_count
allsides,allsides_abortion_r_2,simple,,moral_count
allsides,allsides_abortion_r_3,simple,,moral_count
allsides,allsides_abortion_r_4,simple,9.0,moral_count
allsides,allsides_abortion_r_5,simple,,moral_count
allsides,allsides_coronavirus_c_1,simple,,moral_count
allsides,allsides_coronavirus_c_2,simple,,moral_count
allsides,allsides_coronavirus_c_3,simple,,moral_count
allsides,allsides_coronavirus_c_4,simple,,moral_count
allsides,allsides_coronavirus_c_5,simple,3.0,moral_count
allsides,allsides_coronavirus_l_1,simple,,moral_count
allsides,allsides_coronavirus_l_2,simple,,moral_count
allsides,allsides_coronavirus_l_3,simple,,moral_count
allsides,allsides_coronavirus_l_4,simple,,moral_count
allsides,allsides_coronavirus_l_5,simple,,moral_count
allsides,allsides_coronavirus_r_1,simple,,moral_count
allsides,allsides_coronavirus_r_2,simple,,moral_count
allsides,allsides_coronavirus_r_3,simple,,moral_count
allsides,allsides_coronavirus_r_4,simple,,moral_count
allsides,allsides_coronavirus_r_5,simple,,moral_count
allsides,allsides_elections_c_1,simple,,moral_count
allsides,allsides_elections_c_2,simple,,moral_count
allsides,allsides_elections_c_3,simple,,moral_count
allsides,allsides_elections_c_4,simple,,moral_count
allsides,allsides_elections_c_5,simple,1.0,moral_count
allsides,allsides_elections_l_1,simple,,moral_count
allsides,allsides_elections_l_2,simple,3.0,moral_count
allsides,allsides_elections_l_3,simple,,moral_count
allsides,allsides_elections_l_4,simple,4.0,moral_count
allsides,allsides_elections_l_5,simple,,moral_count
allsides,allsides_elections_r_1,simple,,moral_count
allsides,allsides_elections_r_2,simple,4.0,moral_count
allsides,allsides_elections_r_3,simple,,moral_count
allsides,allsides_elections_r_4,simple,,moral_count
allsides,allsides_elections_r_5,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_1,simple,6.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_2,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_3,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_4,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_5,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_1,simple,7.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_2,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_3,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_4,simple,3.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_5,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_1,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_2,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_3,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_4,simple,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_5,simple,8.0,moral_count
allsides,allsides_immigration_c_1,simple,4.0,moral_count
allsides,allsides_immigration_c_2,simple,,moral_count
allsides,allsides_immigration_c_3,simple,9.0,moral_count
allsides,allsides_immigration_c_4,simple,,moral_count
allsides,allsides_immigration_c_5,simple,,moral_count
allsides,allsides_immigration_l_1,simple,11.0,moral_count
allsides,allsides_immigration_l_2,simple,11.0,moral_count
allsides,allsides_immigration_l_3,simple,4.0,moral_count
allsides,allsides_immigration_l_4,simple,,moral_count
allsides,allsides_immigration_l_5,simple,,moral_count
allsides,allsides_immigration_r_1,simple,,moral_count
allsides,allsides_immigration_r_2,simple,,moral_count
allsides,allsides_immigration_r_3,simple,,moral_count
allsides,allsides_immigration_r_4,simple,,moral_count
allsides,allsides_immigration_r_5,simple,,moral_count
allsides,allsides_lgbt_rights_c_1,simple,11.0,moral_count
allsides,allsides_lgbt_rights_c_2,simple,4.0,moral_count
allsides,allsides_lgbt_rights_c_3,simple,,moral_count
allsides,allsides_lgbt_rights_c_4,simple,,moral_count
allsides,allsides_lgbt_rights_c_5,simple,5.0,moral_count
allsides,allsides_lgbt_rights_l_1,simple,,moral_count
allsides,allsides_lgbt_rights_l_2,simple,,moral_count
allsides,allsides_lgbt_rights_l_3,simple,,moral_count
allsides,allsides_lgbt_rights_l_4,simple,,moral_count
allsides,allsides_lgbt_rights_l_5,simple,7.0,moral_count
allsides,allsides_lgbt_rights_r_1,simple,7.0,moral_count
allsides,allsides_lgbt_rights_r_2,simple,7.0,moral_count
allsides,allsides_lgbt_rights_r_3,simple,,moral_count
allsides,allsides_lgbt_rights_r_4,simple,,moral_count
allsides,allsides_lgbt_rights_r_5,simple,6.0,moral_count
allsides,allsides_politics_c_1,simple,,moral_count
allsides,allsides_politics_c_2,simple,14.0,moral_count
allsides,allsides_politics_c_3,simple,,moral_count
allsides,allsides_politics_c_4,simple,,moral_count
allsides,allsides_politics_c_5,simple,,moral_count
allsides,allsides_politics_l_1,simple,6.0,moral_count
allsides,allsides_politics_l_2,simple,,moral_count
allsides,allsides_politics_l_3,simple,,moral_count
allsides,allsides_politics_l_4,simple,,moral_count
allsides,allsides_politics_l_5,simple,,moral_count
allsides,allsides_politics_r_1,simple,2.0,moral_count
allsides,allsides_politics_r_2,simple,,moral_count
allsides,allsides_politics_r_3,simple,,moral_count
allsides,allsides_politics_r_4,simple,,moral_count
allsides,allsides_politics_r_5,simple,3.0,moral_count
allsides,allsides_race_and_racism_c_1,simple,8.0,moral_count
allsides,allsides_race_and_racism_c_2,simple,,moral_count
allsides,allsides_race_and_racism_c_3,simple,,moral_count
allsides,allsides_race_and_racism_c_4,simple,9.0,moral_count
allsides,allsides_race_and_racism_c_5,simple,,moral_count
allsides,allsides_race_and_racism_l_1,simple,13.0,moral_count
allsides,allsides_race_and_racism_l_2,simple,14.0,moral_count
allsides,allsides_race_and_racism_l_3,simple,,moral_count
allsides,allsides_race_and_racism_l_4,simple,,moral_count
allsides,allsides_race_and_racism_l_5,simple,,moral_count
allsides,allsides_race_and_racism_r_1,simple,,moral_count
allsides,allsides_race_and_racism_r_2,simple,,moral_count
allsides,allsides_race_and_racism_r_3,simple,,moral_count
allsides,allsides_race_and_racism_r_4,simple,,moral_count
allsides,allsides_race_and_racism_r_5,simple,5.0,moral_count
allsides,allsides_us_house_c_1,simple,,moral_count
allsides,allsides_us_house_c_2,simple,,moral_count
allsides,allsides_us_house_c_3,simple,,moral_count
allsides,allsides_us_house_c_4,simple,,moral_count
allsides,allsides_us_house_c_5,simple,,moral_count
allsides,allsides_us_house_l_1,simple,,moral_count
allsides,allsides_us_house_l_2,simple,,moral_count
allsides,allsides_us_house_l_3,simple,,moral_count
allsides,allsides_us_house_l_4,simple,,moral_count
allsides,allsides_us_house_l_5,simple,11.0,moral_count
allsides,allsides_us_house_r_1,simple,3.0,moral_count
