dataset,article,strategy,classification,refusal_subtype,char_len
allsides,allsides_abortion_l_1,cot_fewshot_mft,ok,,1477
allsides,allsides_abortion_l_1,cot_fewshot,ok,,1101
allsides,allsides_abortion_l_1,cot,ok,,1304
allsides,allsides_abortion_l_1,oracle,ok,,1134
allsides,allsides_abortion_l_1,simple_fewshot_mft,ok,,1241
allsides,allsides_abortion_l_1,simple_fewshot,ok,,1041
allsides,allsides_abortion_l_1,simple,ok,,1089
allsides,allsides_abortion_l_1,vanilla,ok,,1110
allsides,allsides_abortion_l_2,cot_fewshot_mft,ok,,1356
allsides,allsides_abortion_l_2,cot_fewshot,ok,,1398
allsides,allsides_abortion_l_2,cot,ok,,1733
allsides,allsides_abortion_l_2,oracle,ok,,1110
allsides,allsides_abortion_l_2,simple_fewshot_mft,ok,,880
allsides,allsides_abortion_l_2,simple_fewshot,ok,,1153
allsides,allsides_abortion_l_2,simple,ok,,1115
allsides,allsides_abortion_l_2,vanilla,ok,,953
allsides,allsides_abortion_l_3,cot_fewshot_mft,ok,,1805
allsides,allsides_abortion_l_3,cot_fewshot,ok,,1156
allsides,allsides_abortion_l_3,cot,ok,,1125
allsides,allsides_abortion_l_3,oracle,ok,,1347
allsides,allsides_abortion_l_3,simple_fewshot_mft,ok,,1218
allsides,allsides_abortion_l_3,simple_fewshot,ok,,1156
allsides,allsides_abortion_l_3,simple,ok,,1271
allsides,allsides_abortion_l_3,vanilla,ok,,1088
allsides,allsides_abortion_l_4,cot_fewshot_mft,ok,,1150
allsides,allsides_abortion_l_4,cot_fewshot,ok,,1053
allsides,allsides_abortion_l_4,cot,ok,,1261
allsides,allsides_abortion_l_4,oracle,ok,,1050
allsides,allsides_abortion_l_4,simple_fewshot_mft,ok,,1267
allsides,allsides_abortion_l_4,simple_fewshot,ok,,958
allsides,allsides_abortion_l_4,simple,ok,,1138
allsides,allsides_abortion_l_4,vanilla,ok,,936
allsides,allsides_abortion_l_5,cot_fewshot_mft,ok,,1599
allsides,allsides_abortion_l_5,cot_fewshot,ok,,1329
allsides,allsides_abortion_l_5,cot,ok,,1169
allsides,allsides_abortion_l_5,oracle,ok,,1088
allsides,allsides_abortion_l_5,simple_fewshot_mft,ok,,1234
allsides,allsides_abortion_l_5,simple_fewshot,ok,,1151
allsides,allsides_abortion_l_5,simple,ok,,1065
allsides,allsides_abortion_l_5,vanilla,ok,,950
allsides,allsides_abortion_r_1,cot_fewshot_mft,ok,,1318
allsides,allsides_abortion_r_1,cot_fewshot,ok,,1343
allsides,allsides_abortion_r_1,cot,ok,,1219
allsides,allsides_abortion_r_1,oracle,ok,,1060
allsides,allsides_abortion_r_1,simple_fewshot_mft,ok,,1267
allsides,allsides_abortion_r_1,simple_fewshot,ok,,1077
allsides,allsides_abortion_r_1,simple,ok,,1092
allsides,allsides_abortion_r_1,vanilla,ok,,914
allsides,allsides_abortion_r_2,cot_fewshot_mft,ok,,1350
allsides,allsides_abortion_r_2,cot_fewshot,ok,,1451
allsides,allsides_abortion_r_2,cot,ok,,1390
allsides,allsides_abortion_r_2,oracle,ok,,1236
allsides,allsides_abortion_r_2,simple_fewshot_mft,ok,,1371
allsides,allsides_abortion_r_2,simple_fewshot,ok,,1161
allsides,allsides_abortion_r_2,simple,ok,,1280
allsides,allsides_abortion_r_2,vanilla,ok,,1249
allsides,allsides_abortion_r_3,cot_fewshot_mft,ok,,1432
allsides,allsides_abortion_r_3,cot_fewshot,ok,,1360
allsides,allsides_abortion_r_3,cot,ok,,1068
allsides,allsides_abortion_r_3,oracle,ok,,1161
allsides,allsides_abortion_r_3,simple_fewshot_mft,ok,,1254
allsides,allsides_abortion_r_3,simple_fewshot,ok,,1041
allsides,allsides_abortion_r_3,simple,ok,,1174
allsides,allsides_abortion_r_3,vanilla,ok,,909
allsides,allsides_abortion_r_4,cot_fewshot_mft,ok,,1843
allsides,allsides_abortion_r_4,cot_fewshot,refusal,moderation,67
allsides,allsides_abortion_r_4,cot,ok,,1395
allsides,allsides_abortion_r_4,oracle,ok,,1414
allsides,allsides_abortion_r_4,simple_fewshot_mft,ok,,1316
allsides,allsides_abortion_r_4,simple_fewshot,ok,,1191
allsides,allsides_abortion_r_4,simple,ok,,1375
allsides,allsides_abortion_r_4,vanilla,ok,,1096
allsides,allsides_abortion_r_5,cot_fewshot_mft,ok,,1449
allsides,allsides_abortion_r_5,cot_fewshot,ok,,973
allsides,allsides_abortion_r_5,cot,ok,,1308
allsides,allsides_abortion_r_5,oracle,ok,,886
allsides,allsides_abortion_r_5,simple_fewshot_mft,ok,,1036
allsides,allsides_abortion_r_5,simple_fewshot,ok,,1082
allsides,allsides_abortion_r_5,simple,ok,,867
allsides,allsides_abortion_r_5,vanilla,ok,,1108
allsides,allsides_coronavirus_c_1,cot_fewshot_mft,ok,,1429
allsides,allsides_coronavirus_c_1,cot_fewshot,ok,,1127
allsides,allsides_coronavirus_c_1,cot,ok,,990
allsides,allsides_coronavirus_c_1,oracle,ok,,1080
allsides,allsides_coronavirus_c_1,simple_fewshot_mft,ok,,1175
allsides,allsides_coronavirus_c_1,simple_fewshot,ok,,1073
allsides,allsides_coronavirus_c_1,simple,ok,,1040
allsides,allsides_coronavirus_c_1,vanilla,ok,,1129
allsides,allsides_coronavirus_c_2,cot_fewshot_mft,ok,,1251
allsides,allsides_coronavirus_c_2,cot_fewshot,ok,,1180
allsides,allsides_coronavirus_c_2,cot,ok,,1412
allsides,allsides_coronavirus_c_2,oracle,ok,,1370
allsides,allsides_coronavirus_c_2,simple_fewshot_mft,ok,,1283
allsides,allsides_coronavirus_c_2,simple_fewshot,ok,,1257
allsides,allsides_coronavirus_c_2,simple,ok,,1189
allsides,allsides_coronavirus_c_2,vanilla,ok,,1169
allsides,allsides_coronavirus_c_3,cot_fewshot_mft,ok,,1359
allsides,allsides_coronavirus_c_3,cot_fewshot,ok,,1206
allsides,allsides_coronavirus_c_3,cot,ok,,904
allsides,allsides_coronavirus_c_3,oracle,ok,,1111
allsides,allsides_coronavirus_c_3,simple_fewshot_mft,ok,,1137
allsides,allsides_coronavirus_c_3,simple_fewshot,ok,,1040
allsides,allsides_coronavirus_c_3,simple,ok,,1167
allsides,allsides_coronavirus_c_3,vanilla,ok,,1157
allsides,allsides_coronavirus_c_4,cot_fewshot_mft,no_summary,,24244
allsides,allsides_coronavirus_c_4,cot_fewshot,ok,,920
allsides,allsides_coronavirus_c_4,cot,ok,,1206
allsides,allsides_coronavirus_c_4,oracle,ok,,1081
allsides,allsides_coronavirus_c_4,simple_fewshot_mft,ok,,1033
allsides,allsides_coronavirus_c_4,simple_fewshot,ok,,930
allsides,allsides_coronavirus_c_4,simple,ok,,1322
allsides,allsides_coronavirus_c_4,vanilla,ok,,1007
allsides,allsides_coronavirus_c_5,cot_fewshot_mft,ok,,1311
allsides,allsides_coronavirus_c_5,cot_fewshot,ok,,991
allsides,allsides_coronavirus_c_5,cot,ok,,1002
allsides,allsides_coronavirus_c_5,oracle,ok,,944
allsides,allsides_coronavirus_c_5,simple_fewshot_mft,ok,,1251
allsides,allsides_coronavirus_c_5,simple_fewshot,ok,,1102
allsides,allsides_coronavirus_c_5,simple,ok,,1043
allsides,allsides_coronavirus_c_5,vanilla,ok,,989
allsides,allsides_coronavirus_l_1,cot_fewshot_mft,ok,,1350
allsides,allsides_coronavirus_l_1,cot_fewshot,ok,,1056
allsides,allsides_coronavirus_l_1,cot,ok,,1331
allsides,allsides_coronavirus_l_1,oracle,ok,,1161
allsides,allsides_coronavirus_l_1,simple_fewshot_mft,ok,,1120
allsides,allsides_coronavirus_l_1,simple_fewshot,ok,,1258
allsides,allsides_coronavirus_l_1,simple,ok,,1074
allsides,allsides_coronavirus_l_1,vanilla,ok,,1206
allsides,allsides_coronavirus_l_2,cot_fewshot_mft,ok,,1732
allsides,allsides_coronavirus_l_2,cot_fewshot,ok,,1559
allsides,allsides_coronavirus_l_2,cot,ok,,1530
allsides,allsides_coronavirus_l_2,oracle,ok,,1276
allsides,allsides_coronavirus_l_2,simple_fewshot_mft,ok,,1432
allsides,allsides_coronavirus_l_2,simple_fewshot,ok,,1214
allsides,allsides_coronavirus_l_2,simple,ok,,1142
allsides,allsides_coronavirus_l_2,vanilla,ok,,986
allsides,allsides_coronavirus_l_3,cot_fewshot_mft,ok,,1207
allsides,allsides_coronavirus_l_3,cot_fewshot,ok,,1108
allsides,allsides_coronavirus_l_3,cot,ok,,921
allsides,allsides_coronavirus_l_3,oracle,ok,,1065
allsides,allsides_coronavirus_l_3,simple_fewshot_mft,ok,,1261
allsides,allsides_coronavirus_l_3,simple_fewshot,ok,,1261
allsides,allsides_coronavirus_l_3,simple,ok,,931
allsides,allsides_coronavirus_l_3,vanilla,ok,,801
allsides,allsides_coronavirus_l_4,cot_fewshot_mft,ok,,1201
allsides,allsides_coronavirus_l_4,cot_fewshot,ok,,1243
allsides,allsides_coronavirus_l_4,cot,ok,,1450
allsides,allsides_coronavirus_l_4,oracle,ok,,1172
allsides,allsides_coronavirus_l_4,simple_fewshot_mft,ok,,1204
allsides,allsides_coronavirus_l_4,simple_fewshot,ok,,1075
allsides,allsides_coronavirus_l_4,simple,ok,,1125
allsides,allsides_coronavirus_l_4,vanilla,ok,,1063
allsides,allsides_coronavirus_l_5,cot_fewshot_mft,ok,,1831
allsides,allsides_coronavirus_l_5,cot_fewshot,ok,,1328
allsides,allsides_coronavirus_l_5,cot,ok,,1379
allsides,allsides_coronavirus_l_5,oracle,ok,,1528
allsides,allsides_coronavirus_l_5,simple_fewshot_mft,ok,,1223
allsides,allsides_coronavirus_l_5,simple_fewshot,ok,,975
allsides,allsides_coronavirus_l_5,simple,ok,,982
allsides,allsides_coronavirus_l_5,vanilla,ok,,1003
allsides,allsides_coronavirus_r_1,cot_fewshot_mft,ok,,1163
allsides,allsides_coronavirus_r_1,cot_fewshot,ok,,1024
allsides,allsides_coronavirus_r_1,cot,ok,,1112
allsides,allsides_coronavirus_r_1,oracle,ok,,1002
allsides,allsides_coronavirus_r_1,simple_fewshot_mft,ok,,1113
allsides,allsides_coronavirus_r_1,simple_fewshot,ok,,1080
allsides,allsides_coronavirus_r_1,simple,ok,,996
allsides,allsides_coronavirus_r_1,vanilla,ok,,896
allsides,allsides_coronavirus_r_2,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_coronavirus_r_2,cot_fewshot,ok,,1205
allsides,allsides_coronavirus_r_2,cot,ok,,1432
allsides,allsides_coronavirus_r_2,oracle,ok,,1149
allsides,allsides_coronavirus_r_2,simple_fewshot_mft,ok,,1320
allsides,allsides_coronavirus_r_2,simple_fewshot,ok,,1066
allsides,allsides_coronavirus_r_2,simple,ok,,1263
allsides,allsides_coronavirus_r_2,vanilla,ok,,1083
allsides,allsides_coronavirus_r_3,cot_fewshot_mft,ok,,1442
allsides,allsides_coronavirus_r_3,cot_fewshot,ok,,979
allsides,allsides_coronavirus_r_3,cot,ok,,1141
allsides,allsides_coronavirus_r_3,oracle,ok,,922
allsides,allsides_coronavirus_r_3,simple_fewshot_mft,ok,,1243
allsides,allsides_coronavirus_r_3,simple_fewshot,ok,,1061
allsides,allsides_coronavirus_r_3,simple,ok,,1005
allsides,allsides_coronavirus_r_3,vanilla,ok,,992
allsides,allsides_coronavirus_r_4,cot_fewshot_mft,ok,,1291
allsides,allsides_coronavirus_r_4,cot_fewshot,ok,,6863
allsides,allsides_coronavirus_r_4,cot,ok,,1100
allsides,allsides_coronavirus_r_4,oracle,ok,,1135
allsides,allsides_coronavirus_r_4,simple_fewshot_mft,ok,,1219
allsides,allsides_coronavirus_r_4,simple_fewshot,ok,,1087
allsides,allsides_coronavirus_r_4,simple,ok,,1194
allsides,allsides_coronavirus_r_4,vanilla,ok,,869
allsides,allsides_coronavirus_r_5,cot_fewshot_mft,ok,,1584
allsides,allsides_coronavirus_r_5,cot_fewshot,ok,,1608
allsides,allsides_coronavirus_r_5,cot,ok,,1275
allsides,allsides_coronavirus_r_5,oracle,ok,,1038
allsides,allsides_coronavirus_r_5,simple_fewshot_mft,ok,,1245
allsides,allsides_coronavirus_r_5,simple_fewshot,ok,,1316
allsides,allsides_coronavirus_r_5,simple,ok,,1290
allsides,allsides_coronavirus_r_5,vanilla,ok,,1340
allsides,allsides_elections_c_1,cot_fewshot_mft,ok,,1416
allsides,allsides_elections_c_1,cot_fewshot,ok,,1128
allsides,allsides_elections_c_1,cot,ok,,1464
allsides,allsides_elections_c_1,oracle,ok,,1260
allsides,allsides_elections_c_1,simple_fewshot_mft,ok,,1140
allsides,allsides_elections_c_1,simple_fewshot,ok,,1056
allsides,allsides_elections_c_1,simple,ok,,1162
allsides,allsides_elections_c_1,vanilla,ok,,836
allsides,allsides_elections_c_2,cot_fewshot_mft,ok,,1204
allsides,allsides_elections_c_2,cot_fewshot,ok,,1120
allsides,allsides_elections_c_2,cot,ok,,1111
allsides,allsides_elections_c_2,oracle,ok,,1015
allsides,allsides_elections_c_2,simple_fewshot_mft,ok,,1025
allsides,allsides_elections_c_2,simple_fewshot,ok,,1303
allsides,allsides_elections_c_2,simple,ok,,1386
allsides,allsides_elections_c_2,vanilla,ok,,1075
allsides,allsides_elections_c_3,cot_fewshot_mft,ok,,1319
allsides,allsides_elections_c_3,cot_fewshot,ok,,1283
allsides,allsides_elections_c_3,cot,ok,,1387
allsides,allsides_elections_c_3,oracle,ok,,1155
allsides,allsides_elections_c_3,simple_fewshot_mft,ok,,1162
allsides,allsides_elections_c_3,simple_fewshot,ok,,1114
allsides,allsides_elections_c_3,simple,ok,,1114
allsides,allsides_elections_c_3,vanilla,ok,,1118
allsides,allsides_elections_c_4,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_elections_c_4,cot_fewshot,refusal,moderation,67
allsides,allsides_elections_c_4,cot,ok,,1187
allsides,allsides_elections_c_4,oracle,ok,,913
allsides,allsides_elections_c_4,simple_fewshot_mft,ok,,999
allsides,allsides_elections_c_4,simple_fewshot,ok,,1306
allsides,allsides_elections_c_4,simple,ok,,1150
allsides,allsides_elections_c_4,vanilla,ok,,1134
allsides,allsides_elections_c_5,cot_fewshot_mft,ok,,1394
allsides,allsides_elections_c_5,cot_fewshot,ok,,1388
allsides,allsides_elections_c_5,cot,ok,,971
allsides,allsides_elections_c_5,oracle,ok,,1033
allsides,allsides_elections_c_5,simple_fewshot_mft,ok,,1253
allsides,allsides_elections_c_5,simple_fewshot,ok,,1183
allsides,allsides_elections_c_5,simple,ok,,1262
allsides,allsides_elections_c_5,vanilla,ok,,961
allsides,allsides_elections_l_1,cot_fewshot_mft,ok,,1902
allsides,allsides_elections_l_1,cot_fewshot,ok,,1224
allsides,allsides_elections_l_1,cot,ok,,1395
allsides,allsides_elections_l_1,oracle,ok,,1426
allsides,allsides_elections_l_1,simple_fewshot_mft,ok,,1210
allsides,allsides_elections_l_1,simple_fewshot,ok,,1032
allsides,allsides_elections_l_1,simple,ok,,1062
allsides,allsides_elections_l_1,vanilla,ok,,1106
allsides,allsides_elections_l_2,cot_fewshot_mft,ok,,1562
allsides,allsides_elections_l_2,cot_fewshot,ok,,1014
allsides,allsides_elections_l_2,cot,ok,,1202
allsides,allsides_elections_l_2,oracle,ok,,998
allsides,allsides_elections_l_2,simple_fewshot_mft,ok,,931
allsides,allsides_elections_l_2,simple_fewshot,ok,,982
allsides,allsides_elections_l_2,simple,ok,,1032
allsides,allsides_elections_l_2,vanilla,ok,,766
allsides,allsides_elections_l_3,cot_fewshot_mft,ok,,1463
allsides,allsides_elections_l_3,cot_fewshot,ok,,1544
allsides,allsides_elections_l_3,cot,ok,,1272
allsides,allsides_elections_l_3,oracle,ok,,1193
allsides,allsides_elections_l_3,simple_fewshot_mft,ok,,1174
allsides,allsides_elections_l_3,simple_fewshot,ok,,1089
allsides,allsides_elections_l_3,simple,ok,,1225
allsides,allsides_elections_l_3,vanilla,ok,,1031
allsides,allsides_elections_l_4,cot_fewshot_mft,ok,,1367
allsides,allsides_elections_l_4,cot_fewshot,ok,,1288
allsides,allsides_elections_l_4,cot,ok,,1469
allsides,allsides_elections_l_4,oracle,ok,,1365
allsides,allsides_elections_l_4,simple_fewshot_mft,ok,,1126
allsides,allsides_elections_l_4,simple_fewshot,ok,,1137
allsides,allsides_elections_l_4,simple,ok,,1201
allsides,allsides_elections_l_4,vanilla,ok,,1143
allsides,allsides_elections_l_5,cot_fewshot_mft,ok,,1256
allsides,allsides_elections_l_5,cot_fewshot,ok,,1225
allsides,allsides_elections_l_5,cot,ok,,985
allsides,allsides_elections_l_5,oracle,ok,,1016
allsides,allsides_elections_l_5,simple_fewshot_mft,ok,,1097
allsides,allsides_elections_l_5,simple_fewshot,ok,,1209
allsides,allsides_elections_l_5,simple,ok,,1105
allsides,allsides_elections_l_5,vanilla,ok,,918
allsides,allsides_elections_r_1,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_elections_r_1,cot_fewshot,refusal,moderation,67
allsides,allsides_elections_r_1,cot,ok,,1423
allsides,allsides_elections_r_1,oracle,ok,,1070
allsides,allsides_elections_r_1,simple_fewshot_mft,refusal,moderation,67
allsides,allsides_elections_r_1,simple_fewshot,refusal,moderation,67
allsides,allsides_elections_r_1,simple,ok,,1136
allsides,allsides_elections_r_1,vanilla,ok,,1270
allsides,allsides_elections_r_2,cot_fewshot_mft,ok,,1313
allsides,allsides_elections_r_2,cot_fewshot,ok,,1174
allsides,allsides_elections_r_2,cot,ok,,1255
allsides,allsides_elections_r_2,oracle,ok,,1179
allsides,allsides_elections_r_2,simple_fewshot_mft,ok,,1223
allsides,allsides_elections_r_2,simple_fewshot,ok,,1013
allsides,allsides_elections_r_2,simple,ok,,1137
allsides,allsides_elections_r_2,vanilla,ok,,886
allsides,allsides_elections_r_3,cot_fewshot_mft,ok,,1811
allsides,allsides_elections_r_3,cot_fewshot,ok,,1128
allsides,allsides_elections_r_3,cot,ok,,1287
allsides,allsides_elections_r_3,oracle,ok,,1510
allsides,allsides_elections_r_3,simple_fewshot_mft,ok,,1160
allsides,allsides_elections_r_3,simple_fewshot,ok,,1199
allsides,allsides_elections_r_3,simple,ok,,1027
allsides,allsides_elections_r_3,vanilla,ok,,1012
allsides,allsides_elections_r_4,cot_fewshot_mft,ok,,1648
allsides,allsides_elections_r_4,cot_fewshot,ok,,1617
allsides,allsides_elections_r_4,cot,ok,,1583
allsides,allsides_elections_r_4,oracle,ok,,1392
allsides,allsides_elections_r_4,simple_fewshot_mft,ok,,916
allsides,allsides_elections_r_4,simple_fewshot,ok,,1255
allsides,allsides_elections_r_4,simple,ok,,1124
allsides,allsides_elections_r_4,vanilla,ok,,869
allsides,allsides_elections_r_5,cot_fewshot_mft,ok,,1686
allsides,allsides_elections_r_5,cot_fewshot,ok,,27191
allsides,allsides_elections_r_5,cot,ok,,1403
allsides,allsides_elections_r_5,oracle,ok,,1476
allsides,allsides_elections_r_5,simple_fewshot_mft,ok,,1013
allsides,allsides_elections_r_5,simple_fewshot,ok,,1051
allsides,allsides_elections_r_5,simple,ok,,1086
allsides,allsides_elections_r_5,vanilla,ok,,974
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot_mft,ok,,1414
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot,ok,,17210
allsides,allsides_gun_control_and_gun_rights_c_1,cot,ok,,1179
allsides,allsides_gun_control_and_gun_rights_c_1,oracle,ok,,879
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot_mft,ok,,1212
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot,ok,,973
allsides,allsides_gun_control_and_gun_rights_c_1,simple,ok,,1075
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,ok,,934
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot_mft,ok,,1142
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot,ok,,1158
allsides,allsides_gun_control_and_gun_rights_c_2,cot,ok,,1146
allsides,allsides_gun_control_and_gun_rights_c_2,oracle,ok,,1100
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot_mft,ok,,1143
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot,ok,,1037
allsides,allsides_gun_control_and_gun_rights_c_2,simple,ok,,978
allsides,allsides_gun_control_and_gun_rights_c_2,vanilla,ok,,900
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot_mft,ok,,1434
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot,ok,,1268
allsides,allsides_gun_control_and_gun_rights_c_3,cot,ok,,1228
allsides,allsides_gun_control_and_gun_rights_c_3,oracle,ok,,1136
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot_mft,ok,,1029
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot,ok,,1013
allsides,allsides_gun_control_and_gun_rights_c_3,simple,ok,,1138
allsides,allsides_gun_control_and_gun_rights_c_3,vanilla,ok,,885
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_4,cot,ok,,1280
allsides,allsides_gun_control_and_gun_rights_c_4,oracle,ok,,1100
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_4,simple,ok,,1159
allsides,allsides_gun_control_and_gun_rights_c_4,vanilla,ok,,1095
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_5,cot,ok,,1254
allsides,allsides_gun_control_and_gun_rights_c_5,oracle,ok,,1322
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot,ok,,1164
allsides,allsides_gun_control_and_gun_rights_c_5,simple,ok,,1127
allsides,allsides_gun_control_and_gun_rights_c_5,vanilla,ok,,1107
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot_mft,ok,,1615
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot,ok,,1614
allsides,allsides_gun_control_and_gun_rights_l_1,cot,ok,,1190
allsides,allsides_gun_control_and_gun_rights_l_1,oracle,ok,,1078
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot_mft,ok,,1125
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot,ok,,1102
allsides,allsides_gun_control_and_gun_rights_l_1,simple,ok,,1067
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,ok,,925
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot_mft,ok,,1479
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot,ok,,1358
allsides,allsides_gun_control_and_gun_rights_l_2,cot,ok,,1386
allsides,allsides_gun_control_and_gun_rights_l_2,oracle,ok,,1390
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot_mft,ok,,1145
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot,ok,,1048
allsides,allsides_gun_control_and_gun_rights_l_2,simple,ok,,1140
allsides,allsides_gun_control_and_gun_rights_l_2,vanilla,ok,,1162
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_l_3,cot,ok,,1085
allsides,allsides_gun_control_and_gun_rights_l_3,oracle,ok,,1065
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot_mft,refusal,moderation,67
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot,ok,,1109
allsides,allsides_gun_control_and_gun_rights_l_3,simple,ok,,888
allsides,allsides_gun_control_and_gun_rights_l_3,vanilla,ok,,899
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot_mft,ok,,1152
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot,ok,,1418
allsides,allsides_gun_control_and_gun_rights_l_4,cot,ok,,1218
allsides,allsides_gun_control_and_gun_rights_l_4,oracle,ok,,1191
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot_mft,ok,,1113
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot,ok,,1017
allsides,allsides_gun_control_and_gun_rights_l_4,simple,ok,,1176
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,ok,,989
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot_mft,ok,,1456
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot,ok,,1172
allsides,allsides_gun_control_and_gun_rights_l_5,cot,ok,,1304
allsides,allsides_gun_control_and_gun_rights_l_5,oracle,ok,,1248
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot_mft,ok,,1101
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot,ok,,1077
allsides,allsides_gun_control_and_gun_rights_l_5,simple,ok,,1223
allsides,allsides_gun_control_and_gun_rights_l_5,vanilla,ok,,1152
allsides,allsides_gun_control_and_gun_rights_r_1,cot_fewshot_mft,ok,,1750
